Case,Mode,Period,UX,UY,UZ,Sum UX,Sum UY,Sum UZ,RX,RY,RZ,Sum RX,Sum RY,Sum RZ
,,sec,,,,,,,,,,,,
Modal,1,4.18,0.9979,0,0,0.9979,0,0,0,0.0022,0,0,0.0022,0
Modal,2,4.172,0,0.9981,0,0.9979,0.9981,0,0.002,0,0,0.002,0.0022,0
Modal,3,3.742,0,0,0,0.9979,0.9981,0,0,0,0.9977,0.002,0.0022,0.9977
Modal,4,0.713,0.0021,0,0,0.9999,0.9981,0,0,0.9888,0,0.002,0.991,0.9977
Modal,5,0.695,0,0.0019,0,0.9999,0.9999,0,0.9891,0,0,0.9911,0.991,0.9977
Modal,6,0.644,0,0,0,0.9999,0.9999,0,0,0,0.0022,0.9911,0.991,0.9999
Modal,7,0.335,0.0001,0,0,1,0.9999,0,0,0.0006,0,0.9911,0.9915,0.9999
Modal,8,0.328,0,0.0001,0,1,1,0,0.0004,0,0,0.9915,0.9915,0.9999
Modal,9,0.308,0,0,0,1,1,0,0,0,0.0001,0.9915,0.9915,1
Modal,10,0.195,0.000005696,0,0,1,1,0,0,0.0083,0,0.9915,0.9998,1
Modal,11,0.192,0,0.000005276,0,1,1,0,0.0083,0,0,0.9998,0.9998,1
Modal,12,0.182,0,0,0,1,1,0,0,0,0.000006413,0.9998,0.9998,1
Modal,13,0.124,0,0,0,1,1,0,0,0.000002323,0,0.9998,0.9998,1
Modal,14,0.123,0,0,0,1,1,0,0,0,0,0.9998,0.9998,1
Modal,15,0.117,0,0,0,1,1,0,0,0,0,0.9998,0.9998,1
Modal,16,0.088,0,0,0,1,1,0,0,0.0001,0,0.9998,1,1
Modal,17,0.088,0,0,0,1,1,0,0.0001,0,0,1,1,1
Modal,18,0.084,0,0,0,1,1,0,0,0,0,1,1,1
