Story,Elevation,Location,X-Dir,Y-Dir
,m,,tonf,tonf
Story5,22.55,Top,159.0185,51.0395
,18.55,Bottom,159.0185,51.0395
Story4,18.55,Top,325.9101,104.1326
,14.55,Bottom,325.9101,104.1326
Story3,14.55,Top,468.0108,148.6206
,10.55,Bottom,468.0108,148.6206
Story2,10.55,Top,593.0675,187.1718
,6.55,Bottom,593.0675,187.1718
Story1,6.55,Top,713.0228,224.0525
,1.55,Bottom,713.0228,224.0525
Base de Aislamiento,1.55,Top,847.9245,266.1369
,0.4,Bottom,847.9245,266.1369
Plano de Ref,0.4,Top,848.7435,266.3931
,0,Bottom,848.7435,266.3931
Base,0,Top,0,0
,0,Bottom,0,0
